N°;Enunciado;Opción A;Opción B;Opción C;Opción D
1;Según el Código de Comercio, la escritura pública es obligatoria para la constitución de:;Empresa unipersonal;Sociedad por acciones simplificada (SAS);Sociedad colectiva;Comerciante persona natural
2;La Ley 222 de 1995 regula principalmente:;El régimen laboral;La inspección, vigilancia y control societario;El régimen tributario;La contabilidad pública
3;La matrícula mercantil tiene como finalidad principal:;Otorgar personería jurídica;Registrar la existencia y dar publicidad al comerciante;Autorizar operaciones financieras;Validar estados financieros
4;¿Cuál entidad ejerce inspección, vigilancia y control sobre sociedades comerciales no vigiladas por otra superintendencia?;DIAN;Superintendencia de Industria y Comercio;Superintendencia de Sociedades;DANE
5;La SAS se caracteriza por:;Exigir mínimo dos socios;Responder solidariamente los accionistas;Permitir constitución por documento privado;Tener objeto social restringido
6;El representante legal de una sociedad es responsable de:;Solo firmar contratos;Elaborar personalmente la contabilidad;Presentar informes de gestión;Liquidar impuestos personales de los socios
7;Según NIIF, el objetivo principal de los estados financieros es:;Determinar impuestos;Informar a entidades de control;Proporcionar información útil para la toma de decisiones;Cumplir requisitos legales únicamente
8;El principio de devengo implica que:;Los hechos se reconocen cuando se pagan;Se reconocen cuando ocurre el hecho económico;Solo se reconocen ingresos;Aplica solo para impuestos
9;Un activo se reconoce cuando:;Tiene forma legal;Genera beneficios económicos futuros;Está totalmente pagado;Es tangible
10;El costo de ventas en el estado de resultados corresponde a:;Gastos administrativos;Gastos financieros;Valor de los bienes vendidos;Ingresos operacionales
11;Las políticas contables deben ser:;Variables cada año;Uniformes y consistentes;Definidas por la DIAN;Opcionales
12;La depreciación refleja:;La pérdida de valor de mercado;El desgaste del activo en el tiempo;La inflación;El deterioro financiero
13;Un pasivo se clasifica como corriente cuando:;Se paga en más de un año;Se paga dentro del ciclo normal del negocio;Es financiero;Es con entidades vinculadas
14;El balance de prueba sirve para:;Determinar impuestos;Verificar igualdad entre débitos y créditos;Elaborar informes de gestión;Presentar a la DIAN
15;Las notas a los estados financieros tienen como finalidad:;Reemplazar los estados financieros;Ampliar y explicar la información financiera;Registrar operaciones;Liquidar impuestos
16;Los marcos NIIF aplican en Colombia a:;Solo entidades públicas;Solo grandes empresas;Entidades obligadas según su grupo;Solo personas naturales
17;El hecho generador del impuesto de renta es:;La facturación;La obtención de ingresos susceptibles de incrementar el patrimonio;El recaudo;El pago del impuesto
18;El IVA se causa generalmente cuando:;Se recibe el dinero;Se realiza el hecho gravado;Se presenta la declaración;Se emite el RUT
19;El impuesto de industria y comercio es de carácter:;Nacional;Departamental;Municipal;Internacional
20;La hoja de trabajo tributaria sirve para:;Registrar contabilidad;Depurar bases gravables y determinar impuestos;Elaborar contratos;Presentar informes de gestión
21;Un ingreso no constitutivo de renta se caracteriza por:;Estar gravado;No incrementar el patrimonio;Tener tarifa cero;Ser un descuento tributario
22;Las retenciones en la fuente tienen como finalidad:;Aumentar costos;Anticipar el recaudo del impuesto;Eliminar el impuesto;Reemplazar la declaración
23;El impuesto predial es:;Nacional;Municipal;Departamental;Aduanero
24;Un descuento tributario se aplica sobre:;Ingresos;Costos;La base gravable;El impuesto a cargo
25;La depuración del impuesto de renta inicia con:;Costos;Ingresos;Deducciones;Descuentos
26;La información exógena tiene como finalidad:;Reemplazar la contabilidad;Facilitar el control fiscal y cruces de información a la autoridad;Elaborar balances;Sustituir declaraciones
27;La información exógena nacional se presenta ante:;Superintendencia de Sociedades;DIAN;DANE;UGPP
28;Los formatos de información exógena son definidos por:;El contador;El contribuyente;La autoridad tributaria;El revisor fiscal
29;La información exógena territorial se presenta ante:;DIAN;Cámara de Comercio;Secretaría de Hacienda;Superintendencia Financiera
30;La información exógena debe coincidir con:;Estados financieros proyectados;Registros contables;Presupuestos;Flujo de caja
31;El error en información exógena puede generar:;Ninguna consecuencia;Sanciones;Solo correcciones contables;Pérdida del RUT
32;La conciliación bancaria busca:;Ajustar estados financieros;Comparar saldo contable y bancario;Liquidar impuestos;Elaborar presupuestos
33;Las cuentas por cobrar deben conciliarse con:;Inventarios;Clientes;Proveedores;Bancos
34;Los libros principales son:;Diario y mayor;Inventarios;Auxiliares;Balances
35;El comprobante de diario sirve para:;Registrar hechos económicos;Conciliar bancos;Elaborar informes;Presentar impuestos
36;La teneduría de libros implica:;Custodia física únicamente;Registro cronológico y ordenado;Archivo tributario;Control presupuestal
37;Una conciliación correcta debe:;Eliminar diferencias;Explicar diferencias;Ignorar diferencias;Ajustar sin soporte
38;El informe de gestión es responsabilidad de:;El contador;El revisor fiscal;El representante legal;La DIAN
39;Los estados financieros de propósito general incluyen:;Solo balance;Estado de situación financiera y estado de resultados;Presupuesto;Declaraciones tributarias
40;Los estados financieros deben presentarse:;Sin notas;Con notas y revelaciones;Solo a la DIAN;Solo internamente
41;La comparabilidad implica:;Usar diferentes criterios;Comparar con periodos anteriores;Cambiar políticas cada periodo;Ajustar cifras arbitrariamente
42;Los estados financieros consolidados aplican cuando:;Hay sucursales;Existe control sobre otras entidades;Hay proveedores comunes;Hay clientes comunes
43;Los reportes a la Superintendencia de Sociedades deben basarse en:;Información fiscal;Información financiera;Información proyectada;Información presupuestal
44;La clasificación correcta de cuentas permite:;Ocultar errores;Elaborar estados financieros confiables;Reducir impuestos;Evitar conciliaciones
45;El estado de resultados del costo permite analizar principalmente:;Liquidez;Rentabilidad;Endeudamiento;Flujo de caja
46;¿Cuál de las siguientes cuentas corresponde a un ACTIVO?;Proveedores;Capital social;Caja;Ingresos por ventas
47;¿Cuál cuenta se clasifica como PASIVO?;Clientes;Cuentas por pagar a proveedores;Inventarios;Utilidades retenidas
48;¿Cuál corresponde a una cuenta de PATRIMONIO?;Obligaciones financieras;Costos de ventas;Capital social;Gastos administrativos
49;¿Cuál es una cuenta de COSTO?;Arrendamientos;Compras de mercancía para la venta;Honorarios;Intereses pagados
50;¿Cuál corresponde a un INGRESO OPERACIONAL?;Venta de bienes o servicios;Préstamo bancario recibido;Aporte de socios;Recuperación de cartera castigada
